name,slug,symbol,current_price,all_time_high,ath_date,pct_of_ath
Rainmaker Games,rainmaker-games,RAIN,0.00002653,1.37,2022-01-03T12:36:47.216Z,0.00
Fame Reward Plus,fame-reward-plus,FRP,0.00206859,244.89,2023-02-18T04:34:58.130Z,0.00
Ooki,ooki,OOKI,0.000000000003126,0.060539,2021-12-25T12:38:57.738Z,0.00
The Three Kingdoms,the-three-kingdoms,TTK,0.00002231,0.601969,2021-10-13T12:08:47.548Z,0.00
Solana Swap,solana-swap,SOS,0.00006888,5.69,2024-11-21T19:04:11.793Z,0.00
Sora,sora,XOR,0.0,981.83,2021-04-06T11:35:00.332Z,0.00
Rebel Bots,rebel-bots,RBLS,0.00006212,2.73,2022-03-22T18:39:43.175Z,0.00
BISO,biso,BISO,0.00001107,0.269004,2023-05-18T23:00:51.011Z,0.00
Mad Scientists,mad-scientists,LAB,3.14,30408809,2024-09-18T21:01:08.719Z,0.00
NETA,neta,NETA,3.31,10041595,2024-09-18T20:52:08.246Z,0.00
EpiK Protocol,epik-protocol,AIEPK,0.00001946,2.19,2021-08-10T13:37:02.033Z,0.00
Dinari GOOGL,dinari-googl-dshares,GOOGL.D,0.00000000031502,206.07,2025-02-04T16:20:06.143Z,0.00
Throne,throne,THN,0.00003497,8.68,2021-09-22T14:08:03.234Z,0.00
Datamine FLUX,flux,FLUX,0.01861556,456.44,2020-07-03T12:23:19.296Z,0.00
ArbiSmart,arbismart-token,RBIS,0.00001299,400.49,2022-01-11T07:43:20.460Z,0.00
Fame MMA,fame-mma,FAME,0.0000054,0.550455,2022-04-29T16:23:03.615Z,0.00
Huckleberry,huckleberry,FINN,0.00009707,3.19,2021-11-18T18:39:36.312Z,0.00
BOSSDOG,bossdog,BOSSDOG,0.0000027,0.667128,2025-08-19T21:35:54.239Z,0.00
Franklin,franklin,FLY,0.00002437,0.499968,2021-04-16T16:12:17.633Z,0.00
Baby Floki Inu,baby-floki-inu,BFLOKI,0.000000000000001778,0.000000003906,2021-06-29T04:32:05.147Z,0.00
SERO,super-zero,SERO,0.00000575,0.55192,2019-07-06T01:22:12.246Z,0.00
