service_name,country_code,availability_type,title_count,unique_titles
 AXN White Amazon Channel ,DE,subscription,19,12
10,AU,free,100,100
10,AU,subscription,1,1
3Cat,ES,ads,60,60
3Cat,ES,subscription,3,3
3sat,DE,free,5,5
5,GB,ads,87,87
7plus,AU,ads,209,209
7plus,AU,subscription,3,3
9Now,AU,free,111,111
A&E,US,ads,10,6
A&E,US,subscription,10,6
A&E Crime Central Apple TV Channel,US,subscription,5,3
ABC,US,ads,2,2
ABC,US,subscription,1,1
ABC iview,AU,free,241,153
ABC On Demand Amazon Channel,JP,subscription,3,2
Acontra Plus,ES,subscription,114,113
Acontra Plus Amazon Channel,ES,subscription,79,78
Acorn TV,AU,subscription,24,14
Acorn TV,CA,subscription,42,25
Acorn TV,GB,subscription,21,13
Acorn TV,US,subscription,63,37
Acorn TV Apple TV,AU,subscription,26,15
Acorn TV Apple TV,CA,subscription,65,38
Acorn TV Apple TV,ES,subscription,11,7
Acorn TV Apple TV,GB,subscription,23,14
Acorn TV Apple TV,US,subscription,66,40
AcornTV Amazon Channel,AU,subscription,26,15
AcornTV Amazon Channel,CA,subscription,65,38
AcornTV Amazon Channel,ES,subscription,11,7
AcornTV Amazon Channel,GB,subscription,23,14
AcornTV Amazon Channel,MX,subscription,6,3
AcornTV Amazon Channel,US,subscription,66,40
Action Max Amazon Channel,FR,subscription,18,17
AD tv,DE,ads,19,10
AD tv,IN,ads,6,6
AD tv,US,ads,15,8
Adrenalin Amazon channel,AT,subscription,4,4
Adrenalin Amazon channel,DE,subscription,34,34
Adrenalina Pura Amazon channel,AR,subscription,9,9
Adrenalina Pura Amazon channel,BR,subscription,91,89
Adrenalina Pura Amazon channel,CL,subscription,13,13
Adrenalina Pura Amazon channel,CO,subscription,13,13
Adrenalina Pura Amazon channel,MX,subscription,90,88
Adrenalina Pura Apple TV channel,AR,subscription,9,9
Adrenalina Pura Apple TV channel,BR,subscription,91,89
Adrenalina Pura Apple TV channel,CL,subscription,13,13
Adrenalina Pura Apple TV channel,CO,subscription,13,13
Adrenalina Pura Apple TV channel,MX,subscription,90,88
Adult Swim,US,free,46,25
Adult Swim,US,subscription,44,24
Adultswim Amazon Channel,BR,subscription,60,32
Adultswim Amazon Channel,CA,subscription,37,22
Adultswim Amazon Channel,MX,subscription,60,32
Adultswim Amazon Channel,US,subscription,17,10
aha,CA,subscription,2,2
aha,IN,subscription,2,2
aha,IN,ads,1,1
aha,US,subscription,2,2
ALLBLK,US,subscription,3,3
ALLBLK Amazon channel ,US,subscription,3,2
ALLBLK Apple TV channel,US,subscription,3,2
Allente,DK,subscription,199,199
alleskino Amazon Channel,DE,subscription,6,6
Allstars Amazon Channel,AT,subscription,9,9
Allstars Amazon Channel,DE,subscription,67,64
Amazon Arthaus Channel,AT,subscription,11,11
Amazon Arthaus Channel,DE,subscription,61,56
Amazon MX Player,IN,ads,79,79
Amazon Video,AU,subscription,2,1
Amazon Video,BR,subscription,2,1
Amazon Video,FR,subscription,2,1
Amazon Video,GB,subscription,1,1
Amazon Video,IT,subscription,2,1
Amazon Video,US,subscription,2,1
AMC,US,subscription,29,29
AMC Channels Amazon Channel,ES,subscription,119,83
AMC Plus Apple TV Channel ,AU,subscription,112,92
AMC Plus Apple TV Channel ,AU,free,18,10
AMC Plus Apple TV Channel ,CA,subscription,78,54
AMC Plus Apple TV Channel ,CA,free,23,13
AMC Plus Apple TV Channel ,ES,subscription,75,52
AMC Plus Apple TV Channel ,US,subscription,270,221
AMC+,AU,subscription,128,99
AMC+,CA,subscription,176,142
AMC+,NZ,subscription,15,12
AMC+,US,subscription,255,208
AMC+ Amazon Channel,AU,subscription,140,109
AMC+ Amazon Channel,CA,subscription,205,171
AMC+ Amazon Channel,ES,subscription,75,52
AMC+ Amazon Channel,US,subscription,300,252
AMC+ Roku Premium Channel,US,subscription,112,84
Amebatv Amazon Channel,US,subscription,49,27
Angel Studios,US,subscription,8,8
Angel Studios,US,free,1,1
Animal Planet,US,subscription,6,4
Animal Planet,US,ads,4,3
Animation Digital Network,DE,subscription,154,88
Animation Digital Network,DE,ads,78,44
Animation Digital Network,FR,subscription,424,252
Animation Digital Network,FR,ads,400,228
Animax Amazon Channel,IN,subscription,25,25
Anime Digital Network Amazon Channel,DE,subscription,157,89
Anime Digital Network Amazon Channel,FR,subscription,434,260
Anime Generation Amazon Channel,IT,subscription,170,104
Anime Times Amazon Channel,IN,subscription,143,143
Anime Times Amazon Channel,JP,subscription,1229,720
Aniverse Amazon Channel,DE,subscription,248,142
Apple TV+,AR,subscription,286,286
Apple TV+,AT,subscription,12,6
Apple TV+,AU,subscription,493,261
Apple TV+,AU,free,6,3
